Well: C1 - MDCK II
Spectrum: Run.1 measured at 11/01/2008 2:17:37 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
4.64,1708.92,-80.80
5.99,1352.06,-80.25
7.74,1058.86,-80.90
10.00,849.63,-78.56
12.92,675.36,-78.04
16.68,533.09,-76.85
21.54,424.61,-75.50
27.83,338.39,-73.94
35.94,272.45,-72.10
46.42,219.98,-69.81
59.95,179.41,-67.32
77.43,147.16,-64.43
100.00,121.89,-61.53
129.15,102.40,-58.30
166.81,86.74,-55.03
215.44,74.16,-51.68
278.26,63.93,-48.33
359.38,55.66,-44.65
464.16,48.92,-40.79
599.48,43.62,-36.71
774.26,39.47,-32.45
1000.00,36.33,-28.23
1291.55,33.94,-24.16
1668.10,32.18,-20.40
2154.43,30.87,-17.01
2782.56,29.92,-14.03
3593.81,29.22,-11.57
4641.59,28.75,-9.43
5994.84,28.33,-7.65
7742.64,28.10,-6.26
10000.00,27.88,-5.16
12915.50,27.74,-4.31
16681.01,27.60,-3.58
21544.35,27.55,-3.07
27825.59,27.53,-2.63
35938.14,27.43,-2.44
46415.89,27.23,-2.69
59948.43,27.16,-2.59
77426.37,27.08,-2.74
100000.00,27.01,-2.79


Well: D3 - MDCK I
Spectrum: Run.11 measured at 11/01/2008 7:57:16 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6936.90,-81.56
1.29,5495.89,-81.84
1.67,4330.74,-81.74
2.15,3446.78,-81.74
2.78,2720.72,-81.20
3.59,2156.09,-80.90
4.64,1705.89,-81.68
5.99,1345.23,-80.23
7.74,1060.34,-79.42
10.00,845.89,-78.80
12.92,670.66,-77.84
16.68,534.50,-77.05
21.54,423.56,-75.24
27.83,338.18,-74.07
35.94,271.54,-71.98
46.42,219.46,-69.76
59.95,179.03,-67.19
77.43,146.97,-64.32
100.00,121.97,-61.32
129.15,102.40,-58.00
166.81,86.76,-54.70
215.44,74.23,-51.38
278.26,64.07,-47.89
359.38,55.84,-44.20
464.16,49.18,-40.33
599.48,43.95,-36.20
774.26,39.84,-31.93
1000.00,36.75,-27.72
1291.55,34.38,-23.70
1668.10,32.62,-19.95
2154.43,31.35,-16.68
2782.56,30.41,-13.83
3593.81,29.75,-11.39
4641.59,29.21,-9.32
5994.84,28.87,-7.64
7742.64,28.60,-6.29
10000.00,28.36,-5.26
12915.50,28.26,-4.52
16681.01,28.02,-3.98
21544.35,27.91,-3.49
27825.59,27.88,-3.09
35938.14,27.71,-2.93
46415.89,27.52,-3.09
59948.43,27.32,-3.20
77426.37,27.16,-3.22
100000.00,27.06,-3.27


Well: D3 - MDCK I
Spectrum: Run.12 measured at 11/01/2008 8:30:29 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6931.80,-81.50
1.29,5504.36,-81.50
1.67,4345.66,-81.50
2.15,3424.58,-81.67
2.78,2693.61,-81.72
3.59,2135.48,-81.64
4.64,1690.87,-80.79
5.99,1339.20,-80.08
7.74,1053.74,-80.26
10.00,846.79,-78.60
12.92,666.98,-78.28
16.68,530.46,-76.76
21.54,421.93,-75.51
27.83,338.13,-73.98
35.94,271.38,-71.99
46.42,219.22,-69.67
59.95,178.63,-67.07
77.43,146.76,-64.06
100.00,122.03,-60.97
129.15,102.44,-57.71
166.81,86.75,-54.42
215.44,74.32,-51.05
278.26,64.22,-47.49
359.38,56.06,-43.78
464.16,49.51,-39.80
599.48,44.29,-35.66
774.26,40.27,-31.44
1000.00,37.21,-27.25
1291.55,34.89,-23.29
1668.10,33.19,-19.72
2154.43,31.92,-16.39
2782.56,30.95,-13.68
3593.81,30.29,-11.23
4641.59,29.78,-9.29
5994.84,29.42,-7.78
7742.64,29.11,-6.52
10000.00,28.92,-5.54
12915.50,28.71,-4.83
16681.01,28.53,-4.27
21544.35,28.31,-3.93
27825.59,28.23,-3.55
35938.14,27.97,-3.59
46415.89,27.68,-3.70
59948.43,27.46,-3.63
77426.37,27.22,-3.57
100000.00,27.18,-3.60


Well: D3 - MDCK I
Spectrum: Run.13 measured at 11/01/2008 9:03:42 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6932.07,-81.68
1.29,5474.11,-81.67
1.67,4302.09,-81.59
2.15,3404.67,-81.35
2.78,2694.71,-81.58
3.59,2134.05,-81.48
4.64,1678.49,-80.56
5.99,1334.81,-80.43
7.74,1046.99,-80.48
10.00,845.60,-78.42
12.92,667.81,-77.66
16.68,529.88,-76.52
21.54,423.09,-75.39
27.83,338.06,-73.77
35.94,270.89,-71.83
46.42,219.17,-69.45
59.95,178.98,-66.86
77.43,146.97,-63.92
100.00,122.20,-60.72
129.15,102.49,-57.52
166.81,87.03,-54.02
215.44,74.52,-50.65
278.26,64.48,-47.06
359.38,56.39,-43.27
464.16,49.87,-39.28
599.48,44.70,-35.14
774.26,40.72,-30.99
1000.00,37.73,-26.82
1291.55,35.48,-22.95
1668.10,33.78,-19.30
2154.43,32.54,-16.19
2782.56,31.60,-13.46
3593.81,30.86,-11.19
4641.59,30.40,-9.34
5994.84,29.99,-7.80
7742.64,29.69,-6.65
10000.00,29.46,-5.81
12915.50,29.23,-5.19
16681.01,28.98,-4.78
21544.35,28.70,-4.52
27825.59,28.50,-4.23
35938.14,28.24,-4.10
46415.89,27.84,-4.25
59948.43,27.53,-4.27
77426.37,27.25,-4.14
100000.00,27.11,-4.13


Well: D3 - MDCK I
Spectrum: Run.14 measured at 11/01/2008 9:36:54 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6943.83,-81.57
1.29,5472.25,-81.53
1.67,4307.08,-81.24
2.15,3412.09,-81.63
2.78,2686.52,-80.92
3.59,2144.56,-80.96
4.64,1693.53,-80.70
5.99,1343.41,-80.60
7.74,1042.89,-79.90
10.00,843.31,-78.38
12.92,666.27,-77.72
16.68,531.38,-76.73
21.54,420.56,-75.49
27.83,337.87,-73.79
35.94,270.93,-71.62
46.42,219.23,-69.33
59.95,178.48,-66.66
77.43,147.03,-63.63
100.00,122.45,-60.45
129.15,102.85,-57.16
166.81,87.33,-53.74
215.44,74.88,-50.25
278.26,64.90,-46.61
359.38,56.79,-42.75
464.16,50.37,-38.78
599.48,45.30,-34.54
774.26,41.35,-30.38
1000.00,38.31,-26.27
1291.55,36.10,-22.45
1668.10,34.41,-19.00
2154.43,33.15,-15.94
2782.56,32.25,-13.32
3593.81,31.58,-11.14
4641.59,31.07,-9.40
5994.84,30.69,-7.95
7742.64,30.37,-6.97
10000.00,30.07,-6.20
12915.50,29.77,-5.61
16681.01,29.46,-5.30
21544.35,29.11,-5.14
27825.59,28.82,-4.82
35938.14,28.42,-4.62
46415.89,27.97,-4.81
59948.43,27.64,-4.77
77426.37,27.28,-4.61
100000.00,27.00,-4.52


Well: D3 - MDCK I
Spectrum: Run.15 measured at 11/01/2008 10:10:07 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6878.49,-81.70
1.29,5492.95,-81.68
1.67,4311.30,-81.51
2.15,3390.71,-81.58
2.78,2691.58,-81.53
3.59,2122.97,-80.91
4.64,1670.58,-80.63
5.99,1325.31,-79.93
7.74,1057.76,-80.21
10.00,838.68,-78.93
12.92,662.36,-77.77
16.68,526.15,-76.46
21.54,421.67,-75.15
27.83,336.27,-73.52
35.94,271.25,-71.48
46.42,218.49,-69.07
59.95,178.27,-66.29
77.43,147.03,-63.35
100.00,122.33,-60.13
129.15,102.94,-56.84
166.81,87.64,-53.32
215.44,75.22,-49.82
278.26,65.24,-46.11
359.38,57.20,-42.28
464.16,50.86,-38.23
599.48,45.82,-34.06
774.26,41.90,-29.94
1000.00,38.99,-25.90
1291.55,36.74,-22.11
1668.10,35.10,-18.77
2154.43,33.91,-15.73
2782.56,32.96,-13.19
3593.81,32.27,-11.21
4641.59,31.76,-9.57
5994.84,31.35,-8.25
7742.64,30.96,-7.38
10000.00,30.62,-6.60
12915.50,30.25,-6.22
16681.01,29.85,-6.01
21544.35,29.44,-5.81
27825.59,29.05,-5.55
35938.14,28.59,-5.43
46415.89,28.08,-5.47
59948.43,27.68,-5.17
77426.37,27.36,-4.99
100000.00,27.07,-4.75


Well: D3 - MDCK I
Spectrum: Run.16 measured at 11/01/2008 10:43:20 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6890.44,-81.55
1.29,5443.64,-81.45
1.67,4307.87,-81.49
2.15,3411.63,-81.56
2.78,2690.28,-81.09
3.59,2109.13,-80.90
4.64,1671.67,-81.31
5.99,1325.97,-80.31
7.74,1052.11,-79.24
10.00,843.96,-79.11
12.92,667.47,-77.88
16.68,527.05,-76.56
21.54,422.43,-75.22
27.83,336.24,-73.43
35.94,270.94,-71.29
46.42,219.10,-68.90
59.95,178.76,-66.22
77.43,147.22,-63.13
100.00,122.72,-59.86
129.15,103.31,-56.46
166.81,87.89,-52.97
215.44,75.63,-49.41
278.26,65.65,-45.60
359.38,57.66,-41.66
464.16,51.33,-37.69
599.48,46.37,-33.48
774.26,42.56,-29.38
1000.00,39.65,-25.39
1291.55,37.47,-21.70
1668.10,35.86,-18.40
2154.43,34.64,-15.54
2782.56,33.72,-13.12
3593.81,33.03,-11.23
4641.59,32.46,-9.70
5994.84,32.04,-8.49
7742.64,31.57,-7.70
10000.00,31.18,-7.17
12915.50,30.72,-6.95
16681.01,30.22,-6.74
21544.35,29.69,-6.59
27825.59,29.21,-6.21
35938.14,28.70,-5.96
46415.89,28.11,-5.81
59948.43,27.74,-5.68
77426.37,27.33,-5.28
100000.00,27.02,-4.90


Well: D3 - MDCK I
Spectrum: Run.17 measured at 11/01/2008 11:16:33 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6889.44,-81.28
1.29,5498.99,-81.57
1.67,4296.93,-81.50
2.15,3412.50,-81.58
2.78,2689.33,-81.33
3.59,2139.14,-81.51
4.64,1675.20,-80.90
5.99,1319.38,-80.14
7.74,1043.61,-79.63
10.00,839.21,-78.31
12.92,662.29,-77.78
16.68,526.21,-76.39
21.54,421.28,-75.06
27.83,336.56,-73.24
35.94,270.94,-71.38
46.42,218.93,-68.68
59.95,178.14,-65.94
77.43,147.22,-62.92
100.00,122.58,-59.66
129.15,103.54,-56.13
166.81,88.05,-52.56
215.44,76.03,-48.97
278.26,66.19,-45.20
359.38,58.33,-41.21
464.16,51.97,-37.16
599.48,47.06,-33.01
774.26,43.22,-28.97
1000.00,40.37,-24.99
1291.55,38.19,-21.48
1668.10,36.59,-18.24
2154.43,35.40,-15.56
2782.56,34.53,-13.31
3593.81,33.79,-11.46
4641.59,33.21,-10.14
5994.84,32.67,-8.96
7742.64,32.18,-8.33
10000.00,31.66,-7.98
12915.50,31.14,-7.81
16681.01,30.52,-7.67
21544.35,29.85,-7.43
27825.59,29.26,-6.97
35938.14,28.64,-6.70
46415.89,28.04,-6.50
59948.43,27.56,-5.98
77426.37,27.21,-5.54
100000.00,26.94,-5.25


Well: D3 - MDCK I
Spectrum: Run.18 measured at 11/01/2008 11:49:46 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6876.93,-81.52
1.29,5480.30,-81.64
1.67,4304.77,-81.39
2.15,3395.03,-81.24
2.78,2700.68,-81.67
3.59,2109.84,-80.92
4.64,1677.61,-80.67
5.99,1333.13,-80.63
7.74,1060.82,-79.36
10.00,838.78,-78.34
12.92,665.31,-77.31
16.68,525.98,-76.22
21.54,418.71,-74.97
27.83,336.53,-73.11
35.94,270.11,-71.01
46.42,218.70,-68.44
59.95,178.74,-65.62
77.43,147.80,-62.53
100.00,122.84,-59.18
129.15,103.94,-55.72
166.81,88.63,-52.03
215.44,76.49,-48.40
278.26,66.71,-44.53
359.38,58.86,-40.62
464.16,52.68,-36.49
599.48,47.81,-32.34
774.26,44.01,-28.38
1000.00,41.20,-24.54
1291.55,39.05,-21.02
1668.10,37.44,-17.93
2154.43,36.23,-15.30
2782.56,35.30,-13.16
3593.81,34.61,-11.53
4641.59,33.95,-10.28
5994.84,33.37,-9.50
7742.64,32.82,-8.85
10000.00,32.19,-8.62
12915.50,31.46,-8.39
16681.01,30.72,-8.31
21544.35,30.01,-7.99
27825.59,29.29,-7.58
35938.14,28.64,-7.00
46415.89,27.95,-6.68
59948.43,27.51,-6.21
77426.37,27.15,-5.65
100000.00,26.88,-5.20


Well: D3 - MDCK I
Spectrum: Run.19 measured at 12/01/2008 12:22:59 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6870.55,-81.47
1.29,5430.06,-81.49
1.67,4277.74,-81.61
2.15,3404.66,-81.39
2.78,2706.08,-81.69
3.59,2101.63,-81.14
4.64,1668.99,-81.04
5.99,1332.60,-80.03
7.74,1043.02,-80.33
10.00,836.89,-78.70
12.92,663.10,-77.28
16.68,527.57,-76.08
21.54,418.65,-74.95
27.83,336.05,-73.08
35.94,269.92,-71.03
46.42,218.58,-68.41
59.95,178.62,-65.46
77.43,147.56,-62.32
100.00,123.42,-58.85
129.15,104.24,-55.38
166.81,88.96,-51.68
215.44,77.01,-47.93
278.26,67.16,-44.05
359.38,59.40,-40.05
464.16,53.30,-35.98
599.48,48.52,-31.85
774.26,44.76,-27.87
1000.00,41.99,-24.15
1291.55,39.86,-20.76
1668.10,38.30,-17.85
2154.43,37.06,-15.39
2782.56,36.15,-13.38
3593.81,35.34,-11.89
4641.59,34.70,-10.81
5994.84,34.08,-10.10
7742.64,33.35,-9.76
10000.00,32.61,-9.45
12915.50,31.78,-9.28
16681.01,30.92,-9.00
21544.35,30.06,-8.76
27825.59,29.31,-8.08
35938.14,28.69,-7.48
46415.89,27.96,-7.11
59948.43,27.50,-6.51
77426.37,27.10,-5.91
100000.00,26.82,-5.33


Well: D3 - MDCK I
Spectrum: Run.20 measured at 12/01/2008 12:56:12 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6834.07,-81.63
1.29,5427.20,-81.48
1.67,4284.89,-81.48
2.15,3398.42,-81.48
2.78,2680.21,-81.51
3.59,2105.59,-80.99
4.64,1670.53,-80.41
5.99,1318.07,-80.28
7.74,1042.70,-79.38
10.00,836.06,-77.93
12.92,672.61,-77.69
16.68,524.78,-76.15
21.54,421.15,-74.54
27.83,335.86,-72.70
35.94,270.25,-70.67
46.42,219.28,-68.10
59.95,179.26,-65.08
77.43,148.21,-61.95
100.00,123.92,-58.41
129.15,104.60,-54.91
166.81,89.47,-51.20
215.44,77.42,-47.40
278.26,67.81,-43.53
359.38,60.07,-39.45
464.16,54.03,-35.33
599.48,49.31,-31.29
774.26,45.67,-27.31
1000.00,42.86,-23.70
1291.55,40.75,-20.46
1668.10,39.22,-17.65
2154.43,38.01,-15.33
2782.56,37.06,-13.51
3593.81,36.21,-12.15
4641.59,35.47,-11.18
5994.84,34.74,-10.66
7742.64,33.92,-10.41
10000.00,33.03,-10.22
12915.50,32.06,-10.04
16681.01,31.03,-9.67
21544.35,30.10,-9.36
27825.59,29.37,-8.48
35938.14,28.58,-7.78
46415.89,27.90,-7.31
59948.43,27.42,-6.63
77426.37,27.11,-5.98
100000.00,26.79,-5.44


Well: D3 - MDCK I
Spectrum: Run.21 measured at 12/01/2008 1:29:25 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6889.02,-81.43
1.29,5407.90,-81.57
1.67,4297.79,-81.28
2.15,3388.03,-81.13
2.78,2685.28,-81.53
3.59,2114.47,-81.14
4.64,1667.07,-80.61
5.99,1349.22,-80.17
7.74,1042.94,-79.37
10.00,836.46,-78.79
12.92,664.80,-77.32
16.68,525.53,-76.20
21.54,419.41,-74.37
27.83,335.89,-72.76
35.94,270.11,-70.55
46.42,218.92,-67.79
59.95,179.69,-64.88
77.43,148.36,-61.63
100.00,124.36,-58.09
129.15,105.13,-54.48
166.81,90.00,-50.75
215.44,78.03,-46.85
278.26,68.42,-42.92
359.38,60.89,-38.88
464.16,54.81,-34.76
599.48,50.18,-30.76
774.26,46.62,-26.91
1000.00,43.89,-23.29
1291.55,41.80,-20.27
1668.10,40.21,-17.55
2154.43,38.97,-15.45
2782.56,37.93,-13.75
3593.81,37.05,-12.56
4641.59,36.25,-11.76
5994.84,35.34,-11.37
7742.64,34.39,-11.15
10000.00,33.39,-11.07
12915.50,32.32,-10.79
16681.01,31.16,-10.44
21544.35,30.13,-9.81
27825.59,29.34,-8.96
35938.14,28.55,-8.24
46415.89,27.87,-7.57
59948.43,27.39,-6.85
77426.37,27.08,-6.10
100000.00,26.79,-5.52


Well: D3 - MDCK I
Spectrum: Run.22 measured at 12/01/2008 2:02:38 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6854.60,-81.42
1.29,5421.36,-81.54
1.67,4269.90,-81.63
2.15,3386.09,-81.60
2.78,2668.58,-81.28
3.59,2107.21,-81.09
4.64,1649.15,-81.27
5.99,1321.13,-80.48
7.74,1047.61,-80.16
10.00,835.30,-77.76
12.92,661.58,-77.12
16.68,525.92,-76.20
21.54,419.85,-74.66
27.83,334.87,-72.25
35.94,269.97,-70.22
46.42,219.32,-67.63
59.95,179.75,-64.60
77.43,148.33,-61.23
100.00,124.20,-57.81
129.15,105.32,-54.02
166.81,90.35,-50.21
215.44,78.58,-46.32
278.26,69.03,-42.33
359.38,61.48,-38.28
464.16,55.59,-34.18
599.48,50.99,-30.19
774.26,47.45,-26.49
1000.00,44.74,-23.06
1291.55,42.69,-20.07
1668.10,41.06,-17.57
2154.43,39.80,-15.53
2782.56,38.78,-14.05
3593.81,37.78,-12.97
4641.59,36.90,-12.51
5994.84,35.86,-12.16
7742.64,34.81,-12.05
10000.00,33.55,-11.86
12915.50,32.36,-11.66
16681.01,31.16,-11.15
21544.35,30.07,-10.30
27825.59,29.21,-9.36
35938.14,28.41,-8.37
46415.89,27.72,-7.68
59948.43,27.27,-6.87
77426.37,26.91,-6.15
100000.00,26.68,-5.60


Well: D3 - MDCK I
Spectrum: Run.23 measured at 12/01/2008 2:35:51 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6819.14,-81.49
1.29,5410.24,-81.32
1.67,4267.76,-81.62
2.15,3374.98,-81.45
2.78,2671.43,-81.30
3.59,2128.80,-80.79
4.64,1669.05,-80.42
5.99,1318.82,-80.50
7.74,1048.31,-79.24
10.00,832.55,-77.67
12.92,659.81,-77.01
16.68,530.42,-76.04
21.54,419.02,-74.10
27.83,334.85,-72.25
35.94,269.91,-69.95
46.42,219.86,-67.39
59.95,180.12,-64.29
77.43,148.59,-60.91
100.00,124.63,-57.37
129.15,105.81,-53.55
166.81,91.10,-49.71
215.44,79.26,-45.76
278.26,69.84,-41.74
359.38,62.39,-37.67
464.16,56.56,-33.58
599.48,51.99,-29.67
774.26,48.47,-25.99
1000.00,45.84,-22.68
1291.55,43.78,-19.86
1668.10,42.18,-17.46
2154.43,40.88,-15.71
2782.56,39.77,-14.40
3593.81,38.72,-13.67
4641.59,37.61,-13.11
5994.84,36.47,-12.92
7742.64,35.21,-12.82
10000.00,33.83,-12.80
12915.50,32.46,-12.36
16681.01,31.23,-11.64
21544.35,30.02,-10.78
27825.59,29.14,-9.60
35938.14,28.36,-8.64
46415.89,27.65,-7.88
59948.43,27.22,-7.04
77426.37,26.93,-6.15
100000.00,26.66,-5.48


Well: D3 - MDCK I
Spectrum: Run.24 measured at 12/01/2008 3:09:04 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6814.69,-81.37
1.29,5391.51,-81.46
1.67,4263.36,-81.60
2.15,3377.23,-81.44
2.78,2655.89,-81.47
3.59,2109.44,-80.61
4.64,1652.25,-80.48
5.99,1308.07,-80.55
7.74,1044.49,-79.57
10.00,834.94,-77.31
12.92,660.51,-76.90
16.68,524.98,-75.61
21.54,419.02,-73.80
27.83,335.70,-71.90
35.94,270.94,-69.86
46.42,219.54,-67.09
59.95,180.30,-63.97
77.43,149.25,-60.55
100.00,125.20,-56.89
129.15,106.54,-53.00
166.81,91.61,-49.07
215.44,79.89,-45.16
278.26,70.61,-41.02
359.38,63.24,-36.96
464.16,57.50,-32.96
599.48,53.03,-29.08
774.26,49.59,-25.50
1000.00,46.94,-22.41
1291.55,44.86,-19.65
1668.10,43.23,-17.51
2154.43,41.92,-15.84
2782.56,40.73,-14.72
3593.81,39.61,-14.08
4641.59,38.36,-13.72
5994.84,37.04,-13.66
7742.64,35.54,-13.66
10000.00,33.99,-13.38
12915.50,32.53,-12.96
16681.01,31.13,-12.15
21544.35,29.95,-11.16
27825.59,29.07,-9.84
35938.14,28.23,-8.81
46415.89,27.60,-7.82
59948.43,27.17,-6.90
77426.37,26.81,-6.04
100000.00,26.62,-5.37


Well: D3 - MDCK I
Spectrum: Run.25 measured at 12/01/2008 3:42:17 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6876.08,-81.42
1.29,5405.01,-81.45
1.67,4262.25,-81.59
2.15,3369.83,-81.38
2.78,2675.04,-81.37
3.59,2113.41,-80.59
4.64,1665.95,-80.75
5.99,1324.15,-79.85
7.74,1040.26,-79.59
10.00,833.00,-78.17
12.92,661.94,-77.05
16.68,524.94,-75.96
21.54,418.28,-74.11
27.83,335.97,-72.10
35.94,270.98,-69.57
46.42,219.60,-66.93
59.95,180.64,-63.74
77.43,149.62,-60.23
100.00,125.83,-56.46
129.15,107.25,-52.60
166.81,92.36,-48.55
215.44,80.72,-44.57
278.26,71.52,-40.43
359.38,64.20,-36.41
464.16,58.51,-32.44
599.48,54.17,-28.66
774.26,50.78,-25.24
1000.00,48.13,-22.18
1291.55,46.12,-19.64
1668.10,44.46,-17.71
2154.43,43.07,-16.24
2782.56,41.74,-15.35
3593.81,40.51,-14.84
4641.59,39.06,-14.69
5994.84,37.53,-14.69
7742.64,35.95,-14.66
10000.00,34.23,-14.38
12915.50,32.64,-13.80
16681.01,31.18,-12.81
21544.35,29.93,-11.63
27825.59,29.03,-10.22
35938.14,28.26,-9.08
46415.89,27.60,-8.07
59948.43,27.14,-7.22
77426.37,26.78,-6.30
100000.00,26.56,-5.56


Well: D3 - MDCK I
Spectrum: Run.26 measured at 12/01/2008 4:15:30 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6871.36,-81.80
1.29,5444.80,-81.66
1.67,4272.27,-81.78
2.15,3382.51,-81.46
2.78,2679.25,-81.30
3.59,2119.03,-81.26
4.64,1663.08,-81.13
5.99,1308.57,-80.09
7.74,1044.39,-79.95
10.00,833.98,-78.33
12.92,659.87,-76.67
16.68,527.99,-75.77
21.54,418.08,-73.68
27.83,335.78,-71.85
35.94,270.28,-69.49
46.42,219.65,-66.56
59.95,181.21,-63.34
77.43,150.12,-59.77
100.00,126.21,-56.00
129.15,107.63,-52.04
166.81,93.16,-48.04
215.44,81.55,-43.96
278.26,72.39,-39.84
359.38,65.27,-35.81
464.16,59.69,-31.91
599.48,55.30,-28.19
774.26,51.97,-24.83
1000.00,49.35,-21.97
1291.55,47.28,-19.57
1668.10,45.59,-17.84
2154.43,44.15,-16.52
2782.56,42.73,-15.82
3593.81,41.33,-15.53
4641.59,39.70,-15.51
5994.84,38.01,-15.63
7742.64,36.13,-15.55
10000.00,34.28,-15.14
12915.50,32.59,-14.39
16681.01,31.06,-13.32
21544.35,29.86,-11.94
27825.59,28.94,-10.47
35938.14,28.14,-9.12
46415.89,27.57,-8.25
59948.43,27.05,-7.20
77426.37,26.79,-6.29
100000.00,26.61,-5.59


Well: D3 - MDCK I
Spectrum: Run.27 measured at 12/01/2008 4:48:43 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6869.61,-81.49
1.29,5426.40,-81.59
1.67,4274.08,-81.93
2.15,3385.11,-81.78
2.78,2672.87,-81.36
3.59,2110.48,-80.86
4.64,1667.42,-81.06
5.99,1313.88,-80.60
7.74,1042.46,-80.65
10.00,833.74,-78.47
12.92,661.42,-76.78
16.68,523.70,-75.40
21.54,420.42,-73.72
27.83,336.10,-71.53
35.94,271.02,-69.09
46.42,220.36,-66.24
59.95,181.48,-62.87
77.43,151.00,-59.41
100.00,127.13,-55.62
129.15,108.61,-51.52
166.81,94.03,-47.46
215.44,82.55,-43.36
278.26,73.50,-39.23
359.38,66.42,-35.14
464.16,60.90,-31.30
599.48,56.62,-27.72
774.26,53.26,-24.54
1000.00,50.72,-21.76
1291.55,48.60,-19.64
1668.10,46.84,-18.01
2154.43,45.28,-16.98
2782.56,43.78,-16.42
3593.81,42.12,-16.34
4641.59,40.38,-16.44
5994.84,38.45,-16.54
7742.64,36.45,-16.49
10000.00,34.43,-15.93
12915.50,32.60,-15.00
16681.01,31.08,-13.78
21544.35,29.84,-12.30
27825.59,28.88,-10.57
35938.14,28.13,-9.31
46415.89,27.49,-8.23
59948.43,27.05,-7.32
77426.37,26.75,-6.22
100000.00,26.48,-5.56


Well: D3 - MDCK I
Spectrum: Run.28 measured at 12/01/2008 5:21:56 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6899.53,-81.57
1.29,5429.22,-81.93
1.67,4268.22,-81.86
2.15,3383.60,-81.77
2.78,2688.15,-81.11
3.59,2104.66,-81.22
4.64,1667.72,-80.19
5.99,1332.11,-80.18
7.74,1025.10,-79.65
10.00,833.87,-77.13
12.92,659.70,-76.54
16.68,524.06,-75.01
21.54,417.53,-73.49
27.83,334.37,-71.27
35.94,270.46,-68.84
46.42,220.43,-65.92
59.95,181.45,-62.61
77.43,151.25,-58.95
100.00,127.71,-55.05
129.15,109.12,-51.01
166.81,94.66,-46.93
215.44,83.26,-42.76
278.26,74.38,-38.59
359.38,67.42,-34.64
464.16,61.99,-30.85
599.48,57.73,-27.33
774.26,54.45,-24.25
1000.00,51.81,-21.71
1291.55,49.80,-19.74
1668.10,47.97,-18.36
2154.43,46.29,-17.43
2782.56,44.62,-17.12
3593.81,42.88,-17.15
4641.59,40.82,-17.33
5994.84,38.70,-17.48
7742.64,36.46,-17.38
10000.00,34.38,-16.72
12915.50,32.48,-15.65
16681.01,30.86,-14.20
21544.35,29.66,-12.56
27825.59,28.69,-10.95
35938.14,27.98,-9.38
46415.89,27.35,-8.45
59948.43,26.94,-7.34
77426.37,26.67,-6.33
100000.00,26.48,-5.62


Well: D3 - MDCK I
Spectrum: Run.29 measured at 12/01/2008 5:55:09 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6844.99,-81.77
1.29,5446.57,-81.79
1.67,4277.22,-81.80
2.15,3396.87,-81.83
2.78,2686.96,-80.91
3.59,2100.71,-81.29
4.64,1655.26,-80.78
5.99,1316.27,-80.71
7.74,1056.62,-78.78
10.00,830.22,-77.55
12.92,662.36,-76.66
16.68,526.73,-75.25
21.54,418.67,-73.52
27.83,336.04,-71.13
35.94,271.87,-68.75
46.42,220.86,-65.60
59.95,182.41,-62.29
77.43,152.19,-58.43
100.00,128.74,-54.52
129.15,110.27,-50.46
166.81,95.84,-46.26
215.44,84.57,-42.09
278.26,75.69,-38.04
359.38,68.76,-33.96
464.16,63.41,-30.29
599.48,59.19,-26.92
774.26,55.93,-24.01
1000.00,53.30,-21.57
1291.55,51.15,-19.81
1668.10,49.28,-18.56
2154.43,47.52,-17.92
2782.56,45.75,-17.75
3593.81,43.73,-17.90
4641.59,41.53,-18.26
5994.84,39.11,-18.37
7742.64,36.73,-18.13
10000.00,34.48,-17.42
12915.50,32.53,-16.10
16681.01,30.92,-14.50
21544.35,29.67,-12.86
27825.59,28.75,-11.06
35938.14,27.98,-9.55
46415.89,27.36,-8.40
59948.43,26.98,-7.34
77426.37,26.69,-6.29
100000.00,26.50,-5.61


Well: D3 - MDCK I
Spectrum: Run.30 measured at 12/01/2008 6:28:23 AM

