Well: C1 - MDCK II
Spectrum: Run.1 measured at 11/01/2008 2:17:37 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
27.83,358.17,-73.72
35.94,288.19,-71.61
46.42,233.98,-69.57
59.95,191.45,-67.14
77.43,157.46,-64.56
100.00,130.96,-61.77
129.15,109.91,-59.11
166.81,92.96,-56.31
215.44,79.21,-53.48
278.26,67.84,-50.66
359.38,58.47,-47.53
464.16,50.86,-44.09
599.48,44.68,-40.31
774.26,39.83,-36.14
1000.00,36.06,-31.86
1291.55,33.27,-27.62
1668.10,31.11,-23.51
2154.43,29.54,-19.73
2782.56,28.46,-16.37
3593.81,27.63,-13.44
4641.59,27.05,-10.94
5994.84,26.65,-8.91
7742.64,26.35,-7.22
10000.00,26.16,-5.86
12915.50,25.99,-4.76
16681.01,25.86,-3.84
21544.35,25.80,-3.24
27825.59,25.82,-2.64
35938.14,25.76,-2.29
46415.89,25.62,-2.34
59948.43,25.56,-2.34
77426.37,25.54,-2.31
100000.00,25.50,-2.39


Well: C1 - MDCK II
Spectrum: Run.11 measured at 11/01/2008 7:50:15 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7225.31,-81.66
1.29,5728.98,-81.60
1.67,4533.73,-81.69
2.15,3591.73,-81.49
2.78,2834.94,-81.34
3.59,2243.91,-80.95
4.64,1782.63,-81.09
5.99,1398.76,-79.97
7.74,1106.74,-79.53
10.00,891.09,-78.85
12.92,708.51,-77.78
16.68,560.45,-76.41
21.54,447.96,-75.37
27.83,357.61,-73.71
35.94,288.15,-71.68
46.42,234.08,-69.45
59.95,190.43,-67.06
77.43,157.16,-64.44
100.00,130.49,-61.75
129.15,109.68,-58.90
166.81,92.82,-56.19
215.44,79.04,-53.35
278.26,67.71,-50.48
359.38,58.36,-47.40
464.16,50.69,-43.91
599.48,44.61,-40.07
774.26,39.77,-36.01
1000.00,36.01,-31.74
1291.55,33.23,-27.37
1668.10,31.14,-23.25
2154.43,29.60,-19.49
2782.56,28.48,-16.18
3593.81,27.69,-13.35
4641.59,27.11,-10.87
5994.84,26.66,-8.80
7742.64,26.38,-7.05
10000.00,26.16,-5.77
12915.50,26.01,-4.73
16681.01,25.92,-3.81
21544.35,25.81,-3.16
27825.59,25.83,-2.51
35938.14,25.77,-2.29
46415.89,25.64,-2.40
59948.43,25.56,-2.27
77426.37,25.48,-2.31
100000.00,25.48,-2.36


Well: C1 - MDCK II
Spectrum: Run.12 measured at 11/01/2008 8:23:27 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7231.11,-81.77
1.29,5711.18,-81.55
1.67,4524.81,-81.37
2.15,3570.46,-81.85
2.78,2808.70,-81.15
3.59,2231.22,-81.16
4.64,1778.35,-80.79
5.99,1396.68,-80.13
7.74,1109.37,-79.67
10.00,886.29,-78.06
